Produto,Empresa,Ingrediente Ativo,URL
"1,4 Sight",Bem Brasil,"1,4-Dimetilnaftaleno",/agrolinkfito/produto/1-4-sight_11927.html
"2,4 D (240) + Picloram (64) SL",CCAB Agro,"2,4-D, Equivalente ácido de 2,4-D, Equivalente Ácido de Picloram, Picloram",/agrolinkfito/produto/2-4-d--240----picloram--64--sl_10764.html
"2,4-D 806 RN",Sumitomo,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-806-rn_10050.html
"2,4-D 806 SL Alamos",Alamos,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-806-sl-alamos_10111.html
"2,4-D AGCN",Agriconnection,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-agcn_6955.html
"2,4-D Agroimport",Agro Import,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-agroimport_10811.html
"2,4-D Amina CCAB 806 SL",CCAB Agro,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-amina-ccab-806-sl_10110.html
"2,4-D CHD’S",CHDS do Brasil,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-chd-s_8022.html
"2,4-D Copalliance",Copalliance,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-copalliance_8948.html
"2,4-D Crop 806 SL",Solus,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-crop-806-sl_10292.html
"2,4-D Nortox",Nortox,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-nortox_8434.html
"2,4-D Nortox 970 WG",Nortox,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-nortox-970-wg_11070.html
"2,4-D R 806 SL Perterra",Rainbow Defensivos,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-r-806-sl-perterra_4883.html
"2,4-D Super Amine SG",Rainbow Defensivos,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-super-amine-sg_10820.html
"2,4-D Tecnomyl",Tecnomyl,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/2-4-d-tecnomyl_10109.html
ABA 400 WG Nortox,Nortox,Abamectina,/agrolinkfito/produto/aba-400-wg-nortox_12156.html
Abacus HC,Basf,"Epoxiconazol, Piraclostrobina",/agrolinkfito/produto/abacus-hc_8581.html
Abaday,Sumitomo,"Lufenurom, Tiodicarbe",/agrolinkfito/produto/abaday_11055.html
Abadin 72 EC,CropChem,Abamectina,/agrolinkfito/produto/abadin-72-ec_10420.html
Abamectin 72 EC Nortox,Nortox,Abamectina,/agrolinkfito/produto/abamectin-72-ec-nortox_10497.html
Abamectin Nortox,Nortox,Abamectina,/agrolinkfito/produto/abamectin-nortox_3435.html
Abamectin Nortox 400 WG,Nortox,Abamectina,/agrolinkfito/produto/abamectin-nortox-400-wg_11101.html
Abamectin Prentiss,Prentiss Química,Abamectina,/agrolinkfito/produto/abamectin-prentiss_7125.html
Abamex,Sumitomo,Abamectina,/agrolinkfito/produto/abamex_3051.html
Abamex BR 18,Sumitomo,Abamectina,/agrolinkfito/produto/abamex-br-18_8344.html
Abamex Maxx,CropChem,Abamectina,/agrolinkfito/produto/abamex-maxx_11418.html
Able,Sipcam Nichino,"Bacillus thuringiensis subespécie Kurstaki, Linhagem EG 2348",/agrolinkfito/produto/able_8129.html
Abone,Albaugh,Diurom,/agrolinkfito/produto/abone_10039.html
Absoluto 500 SC,Iharabras S.A. Indústria Químicas - Sorocaba,Clorotalonil,/agrolinkfito/produto/absoluto-500-sc_10392.html
Absoluto FIX,Iharabras,Clorotalonil,/agrolinkfito/produto/absoluto-fix_10487.html
Absoluto WG,Iharabras,Clorotalonil,/agrolinkfito/produto/absoluto-wg_10507.html
Academic,Oxon,"Cimoxanil, Mancozebe",/agrolinkfito/produto/academic_5999.html
Acapela,Corteva,Picoxistrobina,/agrolinkfito/produto/acapela_11124.html
Acapela BR,Corteva,Picoxistrobina,/agrolinkfito/produto/acapela-br_11132.html
Acarigen,Tecnomyl,Abamectina,/agrolinkfito/produto/acarigen_11887.html
Acarit,Adama,Propargito,/agrolinkfito/produto/acarit_4742.html
Acarit EC,Adama,Propargito,/agrolinkfito/produto/acarit-ec_7983.html
Accede,Sumitomo,ACC,/agrolinkfito/produto/accede_12155.html
Accel,Sumitomo,Benziladenina,/agrolinkfito/produto/accel_11731.html
Accent,FMC,Nicossulfurom,/agrolinkfito/produto/accent_7010.html
Accurate,FMC,Metsulfurom-metílico,/agrolinkfito/produto/accurate_7916.html
Acecopa 750 SP,Copalliance,Acefato,/agrolinkfito/produto/acecopa-750-sp_176.html
Acefato CCAB 750 SP,CCAB Agro,Acefato,/agrolinkfito/produto/acefato-ccab-750-sp_10799.html
Acefato Fersol 750 SP/Arcanjo 750 ZS,Ameribrás,Acefato,/agrolinkfito/produto/acefato-fersol-750-sp-arcanjo-750-zs_8773.html
Acefato Nortox,Nortox,Acefato,/agrolinkfito/produto/acefato-nortox_7705.html
Acefato Sumitomo 750 SP,Sumitomo,Acefato,/agrolinkfito/produto/acefato-sumitomo-750-sp_4075.html
Acehero,Sabero,Acefato,/agrolinkfito/produto/acehero_8555.html
Acera,Ballagro,"Bacillus thuringiensis, isolados 1641, Bacillus thuringiensis, isolados 1644",/agrolinkfito/produto/acera_11184.html
Acert,Adama,Propaquizafop,/agrolinkfito/produto/acert_3013.html
Aceta,Nutrien,Acetamiprido,/agrolinkfito/produto/aceta_10572.html
Acetamiprid CCAB 200 SP,CCAB Agro,Acetamiprido,/agrolinkfito/produto/acetamiprid-ccab-200-sp_8705.html
Acetamiprid CCAB 200 SP II,CCAB Agro,Acetamiprido,/agrolinkfito/produto/acetamiprid-ccab-200-sp-ii_11301.html
Acetamiprid Nortox,Nortox,Acetamiprido,/agrolinkfito/produto/acetamiprid-nortox_10582.html
Acetamiprid Nortox 200 SP,Nortox,Acetamiprido,/agrolinkfito/produto/acetamiprid-nortox-200-sp_10571.html
Acillatem,UPL,Lactofem,/agrolinkfito/produto/acillatem_7992.html
AclamadoBR,Ouro Fino,Atrazina,/agrolinkfito/produto/aclamadobr_8582.html
Acrobat MZ,Basf,"Dimetomorfe, Mancozebe",/agrolinkfito/produto/acrobat-mz_6124.html
Acronis,Basf,"Piraclostrobina, Tiofanato-metílico",/agrolinkfito/produto/acronis_8537.html
Acronis FS,Basf,"Piraclostrobina, Tiofanato-metílico",/agrolinkfito/produto/acronis-fs_11125.html
Acronis UBS,Basf,"Piraclostrobina, Tiofanato-metílico",/agrolinkfito/produto/acronis-ubs_11276.html
Across/Zarco,Adama,"Azoxistrobina, Clorotalonil, Difenoconazol",/agrolinkfito/produto/across-zarco_11270.html
Acrux 750 SP,Sharda,Acefato,/agrolinkfito/produto/acrux-750-sp_10386.html
Actara 250 WG/Nirvana,Syngenta,Tiametoxam,/agrolinkfito/produto/actara-250-wg-nirvana_188.html
Actara 750 SG,Syngenta,Tiametoxam,/agrolinkfito/produto/actara-750-sg_8888.html
Actellic 500 EC,Syngenta,Pirimifós-metílico,/agrolinkfito/produto/actellic-500-ec_3629.html
Actelliclambda,Syngenta,Lambda-Cialotrina,/agrolinkfito/produto/actelliclambda_8334.html
Actend,Syngenta,Trifloxissulfurom-sódico,/agrolinkfito/produto/actend_8609.html
Actigard,Syngenta,Acibenzolar-S-metílico,/agrolinkfito/produto/actigard_10049.html
Adage 350 FS,Syngenta,Tiametoxam,/agrolinkfito/produto/adage-350-fs_8530.html
